accident_year,number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,car_passenger,casualty_type,Hour,Month,Day,high_winds,pedestrian_in_carriageway
2019,2,1,A,Single carriageway,40,Other,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,46 - 55,0,Not car passenger,Car occupant,13,1,3,False,False
2023,2,2,A,Dual carriageway,40,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,13,11,22,False,False
2023,2,2,A,Dual carriageway,40,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,13,11,22,False,False
2021,2,1,A,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Motorcycle,15,5,27,False,False
2021,2,1,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Male,6 - 10,0,Rear seat passenger,Car occupant,11,8,20,False,False
2022,2,2,B,Dual carriageway,40,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Pedestrian,Female,26 - 35,1,Not car passenger,Pedestrian,12,1,13,False,True
2022,2,2,B,Dual carriageway,40,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Pedestrian,Female,26 - 35,1,Not car passenger,Pedestrian,12,1,13,False,True
2021,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,6 - 10,0,Not car passenger,Pedestrian,16,12,17,False,True
2019,2,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,9,5,9,False,False
2023,2,1,B,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Pedestrian,Male,11 - 15,1,Not car passenger,Pedestrian,18,1,26,False,True
2020,2,1,A,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,16,10,22,False,False
2021,1,4,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,21 - 25,1,Not car passenger,Car occupant,15,11,23,False,False
2021,1,4,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,21 - 25,1,Not car passenger,Car occupant,15,11,23,False,False
2021,1,4,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,21 - 25,1,Not car passenger,Car occupant,15,11,23,False,False
2021,1,4,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,21 - 25,1,Not car passenger,Car occupant,15,11,23,False,False
2020,2,1,A,Dual carriageway,40,Roundabout,A,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,17,12,16,False,False
2023,1,2,Unclassified,Dual carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,16 - 20,1,Not car passenger,Pedestrian,2,12,17,False,False
2023,1,2,Unclassified,Dual carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,16 - 20,1,Not car passenger,Pedestrian,2,12,17,False,False
2019,3,1,A,Single carriageway,30,T or staggered junction,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Driver or rider,Female,Over 75,1,Not car passenger,Car occupant,13,3,20,False,False
2020,2,1,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,13,1,27,False,False
2019,2,2,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,56 - 65,1,Not car passenger,Car occupant,5,6,11,False,False
2019,2,2,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,56 - 65,1,Not car passenger,Car occupant,5,6,11,False,False
2019,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,11 - 15,0,Not car passenger,Cyclist,7,7,11,False,False
2021,1,1,Motorway,Slip road,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,46 - 55,0,Not car passenger,Large Vehicle,18,10,27,False,False
2023,2,1,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Cyclist,8,9,26,False,False
2023,2,2,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Male,46 - 55,0,Not car passenger,Large Vehicle,10,5,9,False,False
2023,2,2,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Male,46 - 55,0,Not car passenger,Large Vehicle,10,5,9,False,False
2021,2,1,A,Dual carriageway,30,T or staggered junction,B,Zebra,Daylight,Urban,Non-trunk,Driver or rider,Male,11 - 15,0,Not car passenger,Cyclist,8,9,24,False,False
2020,1,1,A,Dual carriageway,30,Crossroads,A,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,26 - 35,1,Not car passenger,Pedestrian,17,12,20,False,True
2021,1,1,A,Single carriageway,30,More than 4 arms (not roundabout),Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,Over 75,0,Not car passenger,Pedestrian,9,11,20,False,True
2021,3,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,11,10,7,False,False
2021,3,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,11,10,7,False,False
2020,1,1,Unclassified,Single carriageway,20,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,66 - 75,0,Not car passenger,Pedestrian,20,2,15,True,True
2021,1,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,11 - 15,0,Not car passenger,Pedestrian,7,10,18,False,True
2020,2,1,A,One way street,30,Slip road,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,Over 75,0,Not car passenger,Car occupant,10,2,20,False,False
2022,2,1,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Urban,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Motorcycle,19,12,16,False,False
2019,1,2,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,46 - 55,1,Not car passenger,Pedestrian,12,10,21,False,True
2019,1,2,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,46 - 55,1,Not car passenger,Pedestrian,12,10,21,False,True
2019,2,1,A,Dual carriageway,30,Crossroads,Unclassified,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Passenger,Female,26 - 35,1,Not car passenger,Large Vehicle,15,6,20,False,False
2023,1,1,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Pedestrian,Male,16 - 20,0,Not car passenger,Pedestrian,1,6,23,False,True
2023,1,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,26 - 35,0,Not car passenger,Pedestrian,10,6,29,False,False
2023,1,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,26 - 35,0,Not car passenger,Pedestrian,10,6,29,False,False
2023,2,2,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Female,56 - 65,0,Front seat passenger,Car occupant,12,11,24,False,False
2023,2,2,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Female,56 - 65,0,Front seat passenger,Car occupant,12,11,24,False,False
2020,2,2,Unclassified,Dual carriageway,30,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,36 - 45,0,Not car passenger,Car occupant,18,8,26,False,False
2020,2,2,Unclassified,Dual carriageway,30,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,36 - 45,0,Not car passenger,Car occupant,18,8,26,False,False
2022,2,3,Unclassified,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Passenger,Female,16 - 20,0,Front seat passenger,Car occupant,19,9,10,False,False
2022,2,3,Unclassified,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Passenger,Female,16 - 20,0,Front seat passenger,Car occupant,19,9,10,False,False
2022,2,3,Unclassified,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Passenger,Female,16 - 20,0,Front seat passenger,Car occupant,19,9,10,False,False
2021,1,1,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,46 - 55,1,Not car passenger,Car occupant,14,7,21,False,False
2019,2,1,Unclassified,Single carriageway,40,Crossroads,A,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,56 - 65,0,Not car passenger,Car occupant,20,2,16,False,False
2019,2,1,A,Single carriageway,50,T or staggered junction,B,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,1,Not car passenger,Car occupant,18,6,7,False,False
2023,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Cyclist,8,3,17,False,False
2022,2,2,A,Single carriageway,40,Crossroads,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,56 - 65,1,Not car passenger,Car occupant,9,1,25,False,False
2022,2,2,A,Single carriageway,40,Crossroads,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,56 - 65,1,Not car passenger,Car occupant,9,1,25,False,False
2021,1,1,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Female,46 - 55,1,Not car passenger,Car occupant,20,10,26,False,False
2022,2,1,A,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Cyclist,14,8,19,False,False
2019,2,2,A,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Driver or rider,Male,56 - 65,1,Not car passenger,Car occupant,17,2,3,False,False
2019,2,2,A,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Driver or rider,Male,56 - 65,1,Not car passenger,Car occupant,17,2,3,False,False
2022,1,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,66 - 75,1,Not car passenger,Pedestrian,10,10,8,False,False
2023,2,1,A,Single carriageway,30,Crossroads,Unclassified,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,15,3,21,False,False
2023,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,66 - 75,1,Not car passenger,Pedestrian,16,9,11,False,True
2019,2,1,A,Single carriageway,30,Crossroads,Unclassified,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Passenger,Female,56 - 65,0,Front seat passenger,Car occupant,11,7,3,False,False
2021,1,1,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Motorcycle,18,4,15,False,False
